Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date,Excess Readmission Ratio_standardized,Predicted Readmission Rate_standardized,Expected Readmission Rate_standardized
GRANDVIEW MEDICAL CENTER,AL,Pneumonia,341.0,0.96,15.72,16.34,51,07/01/2020,06/30/2023,-0.7717614624492729,-0.7164926198676173,-0.4492169204301518
PRATTVILLE BAPTIST HOSPITAL,AL,Pneumonia,142.0,0.92,14.19,15.34,15,07/01/2020,06/30/2023,-1.3993951184256337,-1.3898366093566792,-0.9848110763079827
PRATTVILLE BAPTIST HOSPITAL,AL,COPD,88.0,0.97,17.18,17.78,13,07/01/2020,06/30/2023,-0.6148530484551824,-0.07395521813295756,0.32203866403392534
MOBILE INFIRMARY MEDICAL CENTER,AL,COPD,146.0,1.07,19.75,18.47,33,07/01/2020,06/30/2023,0.9542310914857236,1.0570866465643551,0.6915986315896274
MOBILE INFIRMARY MEDICAL CENTER,AL,Pneumonia,393.0,0.95,15.41,16.25,57,07/01/2020,06/30/2023,-0.9286698764433635,-0.8529217942085384,-0.49742039445915653
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,Pneumonia,153.0,1.01,15.39,15.28,24,07/01/2020,06/30/2023,0.012780607521180043,-0.8617236764240815,-1.0169467256606528
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,Pneumonia,113.0,1.03,16.88,16.41,21,07/01/2020,06/30/2023,0.32659743550936127,-0.2059834513661072,-0.4117253295187035
LAKELAND COMMUNITY HOSPITAL,AL,Pneumonia,280.0,0.97,12.51,12.91,33,07/01/2020,06/30/2023,-0.6148530484551824,-2.129194715462315,-2.2863048750911115
NORTH BALDWIN INFIRMARY,AL,Pneumonia,47.0,1.11,15.54,14.04,14,07/01/2020,06/30/2023,1.581864747462086,-0.7957095598075075,-1.6810834789491633
ST VINCENT'S ST CLAIR,AL,Pneumonia,127.0,1.03,14.95,14.5,21,07/01/2020,06/30/2023,0.32659743550936127,-1.0553650851660343,-1.4347101672453606
CRESTWOOD MEDICAL CENTER,AL,Pneumonia,346.0,1.06,15.7,14.86,58,07/01/2020,06/30/2023,0.797322677491633,-0.725294502083161,-1.2418962711293418
CRESTWOOD MEDICAL CENTER,AL,COPD,91.0,1.01,16.63,16.39,16,07/01/2020,06/30/2023,0.012780607521180043,-0.3160069790603983,-0.4224372126362599
BROOKWOOD BAPTIST MEDICAL CENTER,AL,Pneumonia,169.0,1.01,15.5,15.31,27,07/01/2020,06/30/2023,0.012780607521180043,-0.8133133242385937,-1.0008789009843173
SPRINGHILL MEDICAL CENTER,AL,COPD,80.0,1.06,16.79,15.82,17,07/01/2020,06/30/2023,0.797322677491633,-0.24559192133605193,-0.7277258814866236
SPRINGHILL MEDICAL CENTER,AL,Pneumonia,185.0,1.03,16.15,15.66,32,07/01/2020,06/30/2023,0.32659743550936127,-0.5272521522334375,-0.8134209464270767
EVERGREEN MEDICAL CENTER,AL,Pneumonia,90.0,0.99,12.63,12.7,11,07/01/2020,06/30/2023,-0.3010362204670012,-2.076383422169055,-2.3987796478254566
BAPTIST MEDICAL CENTER EAST,AL,Pneumonia,203.0,1.06,16.65,15.64,38,07/01/2020,06/30/2023,0.797322677491633,-0.3072050968448552,-0.8241328295446331
RUSSELLVILLE HOSPITAL,AL,Pneumonia,92.0,1.04,14.91,14.41,16,07/01/2020,06/30/2023,0.4835058495034518,-1.0729688495971206,-1.4829136412743653
COOSA VALLEY MEDICAL CENTER,AL,Pneumonia,88.0,1.07,15.5,14.51,18,07/01/2020,06/30/2023,0.9542310914857236,-0.8133133242385937,-1.4293542256865823
PROVIDENCE ALASKA MEDICAL CENTER,AK,COPD,134.0,0.92,17.91,19.42,19,07/01/2020,06/30/2023,-1.3993951184256337,0.24731348273437265,1.2004130796735684
PROVIDENCE ALASKA MEDICAL CENTER,AK,Pneumonia,211.0,1.01,15.21,15.0,33,07/01/2020,06/30/2023,0.012780607521180043,-0.940940616363971,-1.1669130893064452
MAT-SU REGIONAL MEDICAL CENTER,AK,Pneumonia,272.0,0.92,15.28,16.6,36,07/01/2020,06/30/2023,-1.3993951184256337,-0.9101340286095702,-0.30996243990191497
MAT-SU REGIONAL MEDICAL CENTER,AK,COPD,96.0,0.94,17.66,18.83,13,07/01/2020,06/30/2023,-1.0855782904374542,0.13728995504008154,0.8844125277056463
FAIRBANKS MEMORIAL HOSPITAL,AK,Pneumonia,111.0,0.94,13.4,14.22,11,07/01/2020,06/30/2023,-1.0855782904374542,-1.7375109568706388,-1.584676530891153
ALASKA REGIONAL HOSPITAL,AK,Pneumonia,200.0,1.11,17.04,15.38,41,07/01/2020,06/30/2023,1.581864747462086,-0.13556839364176082,-0.963387310072869
ALASKA REGIONAL HOSPITAL,AK,COPD,71.0,1.12,19.52,17.37,21,07/01/2020,06/30/2023,1.7387731614561766,0.9558650010856071,0.1024450601240146
CENTRAL PENINSULA GENERAL HOSPITAL,AK,COPD,96.0,1.11,20.37,18.38,26,07/01/2020,06/30/2023,1.581864747462086,1.3299449952461975,0.6433951575606227
CENTRAL PENINSULA GENERAL HOSPITAL,AK,Pneumonia,135.0,1.07,16.1,15.11,26,07/01/2020,06/30/2023,0.9542310914857236,-0.5492568577722944,-1.1079977321598842
ALASKA NATIVE MEDICAL CENTER,AK,Pneumonia,152.0,0.93,13.8,14.88,16,07/01/2020,06/30/2023,-1.242486704431543,-1.5614733125597728,-1.2311843880117845
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,Pneumonia,240.0,0.99,17.3,17.43,41,07/01/2020,06/30/2023,-0.3010362204670012,-0.021143924839697393,0.13458070947668377
TUCSON MEDICAL CENTER,AZ,Pneumonia,560.0,1.04,15.65,15.1,90,07/01/2020,06/30/2023,0.4835058495034518,-0.7472992076220188,-1.1133536737186622
TUCSON MEDICAL CENTER,AZ,COPD,167.0,0.96,16.41,17.07,25,07/01/2020,06/30/2023,-0.7717614624492729,-0.412827683431374,-0.05823318663933505
VERDE VALLEY MEDICAL CENTER,AZ,Pneumonia,218.0,0.9,12.87,14.34,21,07/01/2020,06/30/2023,-1.7132119464138147,-1.9707608355825363,-1.5204052321858137
ST. MARY'S HOSPITAL,AZ,Pneumonia,191.0,0.95,14.23,14.93,24,07/01/2020,06/30/2023,-0.9286698764433635,-1.3722328449255923,-1.2044046802178934
ST JOSEPH'S HOSPITAL,AZ,Pneumonia,213.0,0.94,13.58,14.42,25,07/01/2020,06/30/2023,-1.0855782904374542,-1.6582940169307494,-1.477557699715587
YAVAPAI REGIONAL MEDICAL CENTER,AZ,Pneumonia,587.0,1.02,14.07,13.76,84,07/01/2020,06/30/2023,0.16968902151527065,-1.4426479026499386,-1.8310498425949555
YAVAPAI REGIONAL MEDICAL CENTER,AZ,COPD,192.0,1.0,15.5,15.44,30,07/01/2020,06/30/2023,-0.14412780647291057,-0.8133133242385937,-0.9312516607201998
YUMA REGIONAL MEDICAL CENTER,AZ,Pneumonia,586.0,1.0,15.57,15.62,91,07/01/2020,06/30/2023,-0.14412780647291057,-0.782506736484192,-0.8348447126621904
YUMA REGIONAL MEDICAL CENTER,AZ,COPD,157.0,0.97,16.32,16.77,24,07/01/2020,06/30/2023,-0.6148530484551824,-0.4524361534013187,-0.2189114334026847
HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,AZ,Pneumonia,276.0,0.93,14.43,15.52,35,07/01/2020,06/30/2023,-1.242486704431543,-1.2842140227701597,-0.8884041282499733
BANNER CASA GRANDE MEDICAL CENTER,AZ,Pneumonia,286.0,1.05,15.74,15.06,48,07/01/2020,06/30/2023,0.6404142634975425,-0.7076907376520741,-1.1347774399537751
BANNER CASA GRANDE MEDICAL CENTER,AZ,COPD,56.0,1.08,15.21,14.08,13,07/01/2020,06/30/2023,1.1111395054798143,-0.940940616363971,-1.6596597127140496
FLAGSTAFF MEDICAL CENTER,AZ,Pneumonia,203.0,1.01,15.43,15.27,32,07/01/2020,06/30/2023,0.012780607521180043,-0.8441199119929953,-1.022302667219431
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,AZ,COPD,102.0,1.01,15.93,15.73,17,07/01/2020,06/30/2023,0.012780607521180043,-0.6240728566044131,-0.7759293555156284
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,AZ,Pneumonia,245.0,1.03,16.01,15.59,41,07/01/2020,06/30/2023,0.32659743550936127,-0.5888653277422391,-0.850912537338525
ABRAZO CENTRAL CAMPUS,AZ,Pneumonia,82.0,1.0,14.99,15.05,12,07/01/2020,06/30/2023,-0.14412780647291057,-1.0377613207349474,-1.1401333815125532
CHANDLER REGIONAL MEDICAL CENTER,AZ,COPD,151.0,0.97,17.93,18.55,25,07/01/2020,06/30/2023,-0.6148530484551824,0.25611536494991577,0.7344461640598549
CHANDLER REGIONAL MEDICAL CENTER,AZ,Pneumonia,674.0,0.92,15.32,16.57,98,07/01/2020,06/30/2023,-1.3993951184256337,-0.8925302641784831,-0.3260302645782505
HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,AZ,COPD,100.0,1.0,16.95,16.93,17,07/01/2020,06/30/2023,-0.14412780647291057,-0.17517686361170556,-0.13321636846223167
HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,AZ,Pneumonia,383.0,0.97,14.91,15.39,55,07/01/2020,06/30/2023,-0.6148530484551824,-1.0729688495971206,-0.9580313685140908
CANYON VISTA MEDICAL CENTER,AZ,COPD,80.0,1.01,15.59,15.46,13,07/01/2020,06/30/2023,0.012780607521180043,-0.7737048542686489,-0.9205397776026425
CANYON VISTA MEDICAL CENTER,AZ,Pneumonia,273.0,0.96,13.5,14.1,34,07/01/2020,06/30/2023,-0.7717614624492729,-1.6935015457929226,-1.6489478295964932
KINGMAN REGIONAL MEDICAL CENTER,AZ,Pneumonia,350.0,0.98,14.88,15.13,51,07/01/2020,06/30/2023,-0.45794463446109174,-1.0861716729204351,-1.0972858490423267
BANNER BOSWELL MEDICAL CENTER,AZ,COPD,186.0,0.95,15.52,16.29,26,07/01/2020,06/30/2023,-0.9286698764433635,-0.8045114420230506,-0.47599662822404376
BANNER BOSWELL MEDICAL CENTER,AZ,Pneumonia,916.0,1.03,16.6,16.13,154,07/01/2020,06/30/2023,0.32659743550936127,-0.32920980238371217,-0.5616916931644967
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,Pneumonia,225.0,0.96,12.88,13.49,26,07/01/2020,06/30/2023,-0.7717614624492729,-1.966359894474764,-1.9756602646819696
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,Pneumonia,294.0,0.97,17.0,17.49,48,07/01/2020,06/30/2023,-0.6148530484551824,-0.15317215807284704,0.16671635882935293
BANNER DESERT MEDICAL CENTER,AZ,Pneumonia,586.0,1.13,18.24,16.21,115,07/01/2020,06/30/2023,1.8956815754502638,0.39254453929083616,-0.5188441606942693
BANNER DESERT MEDICAL CENTER,AZ,COPD,133.0,0.97,17.95,18.5,22,07/01/2020,06/30/2023,-0.6148530484551824,0.26491724716545884,0.707666456265963
HAVASU REGIONAL MEDICAL CENTER,AZ,COPD,124.0,0.99,16.69,16.88,20,07/01/2020,06/30/2023,-0.3010362204670012,-0.28960133241376745,-0.1599960762561236
HAVASU REGIONAL MEDICAL CENTER,AZ,Pneumonia,313.0,0.97,14.46,14.97,43,07/01/2020,06/30/2023,-0.6148530484551824,-1.2710111994468443,-1.1829809139827798
FORT DEFIANCE INDIAN HOSPITAL,AZ,Pneumonia,61.0,1.08,12.15,11.3,12,07/01/2020,06/30/2023,1.1111395054798143,-2.2876285953420945,-3.148611466054419
ABRAZO SCOTTSDALE CAMPUS,AZ,Pneumonia,138.0,1.02,15.5,15.13,23,07/01/2020,06/30/2023,0.16968902151527065,-0.8133133242385937,-1.0972858490423267
NORTHWEST MEDICAL CENTER,AZ,COPD,102.0,1.07,17.48,16.31,22,07/01/2020,06/30/2023,0.9542310914857236,0.058073015100192076,-0.4652847451064874
NORTHWEST MEDICAL CENTER,AZ,Pneumonia,318.0,0.97,15.03,15.44,46,07/01/2020,06/30/2023,-0.6148530484551824,-1.0201575563038612,-0.9312516607201998
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,AZ,COPD,111.0,1.05,17.15,16.32,22,07/01/2020,06/30/2023,0.6404142634975425,-0.087158041456273,-0.4599288035477082
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,AZ,Pneumonia,631.0,1.12,16.87,15.09,114,07/01/2020,06/30/2023,1.7387731614561766,-0.21038439247387797,-1.1187096152774405
BANNER BAYWOOD MEDICAL CENTER,AZ,COPD,143.0,0.92,15.21,16.48,17,07/01/2020,06/30/2023,-1.3993951184256337,-0.940940616363971,-0.37423373860725523
BANNER BAYWOOD MEDICAL CENTER,AZ,Pneumonia,779.0,0.92,14.69,15.94,109,07/01/2020,06/30/2023,-1.3993951184256337,-1.1697895539680971,-0.6634545827812843
BANNER THUNDERBIRD MEDICAL CENTER,AZ,COPD,126.0,1.02,17.98,17.58,24,07/01/2020,06/30/2023,0.16968902151527065,0.2781200704887743,0.21491983285835764
BANNER THUNDERBIRD MEDICAL CENTER,AZ,Pneumonia,561.0,1.02,16.93,16.68,96,07/01/2020,06/30/2023,0.16968902151527065,-0.18397874582724866,-0.2671149074316894
HONORHEALTH DEER VALLEY MEDICAL CENTER,AZ,COPD,71.0,1.0,17.15,17.2,12,07/01/2020,06/30/2023,-0.14412780647291057,-0.087158041456273,0.011394053624782434
HONORHEALTH DEER VALLEY MEDICAL CENTER,AZ,Pneumonia,323.0,1.01,15.88,15.72,52,07/01/2020,06/30/2023,0.012780607521180043,-0.6460775621432708,-0.7812852970744065
BANNER DEL E. WEBB MEDICAL CENTER,AZ,COPD,210.0,0.94,15.97,16.93,30,07/01/2020,06/30/2023,-1.0855782904374542,-0.6064690921733261,-0.13321636846223167
BANNER DEL E. WEBB MEDICAL CENTER,AZ,Pneumonia,1073.0,1.0,15.47,15.46,166,07/01/2020,06/30/2023,-0.14412780647291057,-0.8265161475619083,-0.9205397776026425
ABRAZO ARROWHEAD HOSPITAL,AZ,COPD,78.0,1.03,17.99,17.41,16,07/01/2020,06/30/2023,0.32659743550936127,0.2825210115965451,0.12386882635912738
ABRAZO ARROWHEAD HOSPITAL,AZ,Pneumonia,338.0,1.0,15.58,15.51,53,07/01/2020,06/30/2023,-0.14412780647291057,-0.7781057953764204,-0.8937600698087516
WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,COPD,96.0,1.02,18.22,17.77,19,07/01/2020,06/30/2023,0.16968902151527065,0.38374265707529304,0.31668272247514617
WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,Pneumonia,170.0,0.9,14.26,15.89,17,07/01/2020,06/30/2023,-1.7132119464138147,-1.3590300216022777,-0.6902342905751754
MAYO CLINIC HOSPITAL,AZ,COPD,128.0,0.94,17.92,19.1,19,07/01/2020,06/30/2023,-1.0855782904374542,0.251714423842145,1.0290229497926622
MAYO CLINIC HOSPITAL,AZ,Pneumonia,879.0,0.92,15.9,17.3,134,07/01/2020,06/30/2023,-1.3993951184256337,-0.6372756799277277,0.06495346921256628
ABRAZO WEST CAMPUS,AZ,Pneumonia,304.0,1.03,15.56,15.17,49,07/01/2020,06/30/2023,0.32659743550936127,-0.7869076775919636,-1.0758620828072138
ABRAZO WEST CAMPUS,AZ,COPD,73.0,0.99,15.54,15.63,11,07/01/2020,06/30/2023,-0.3010362204670012,-0.7957095598075075,-0.8294887711034112
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,AZ,Pneumonia,108.0,0.96,16.27,16.9,15,07/01/2020,06/30/2023,-0.7717614624492729,-0.47444085894017723,-0.14928419313856722
ORO VALLEY HOSPITAL,AZ,Pneumonia,278.0,0.95,12.42,13.12,31,07/01/2020,06/30/2023,-0.9286698764433635,-2.1688031854322602,-2.1738301023567677
BANNER ESTRELLA MEDICAL CENTER,AZ,Pneumonia,281.0,1.04,16.92,16.33,50,07/01/2020,06/30/2023,0.4835058495034518,-0.18837968693501944,-0.454572861988931
MERCY GILBERT MEDICAL CENTER,AZ,Pneumonia,431.0,0.94,15.11,16.07,61,07/01/2020,06/30/2023,-1.0855782904374542,-0.984950027441688,-0.593827342517166
MERCY GILBERT MEDICAL CENTER,AZ,COPD,113.0,0.98,17.97,18.36,19,07/01/2020,06/30/2023,-0.45794463446109174,0.27371912938100196,0.6326832744430664
"MOUNTAIN VISTA MEDICAL CENTER, LP",AZ,Pneumonia,196.0,0.98,14.09,14.44,26,07/01/2020,06/30/2023,-0.45794463446109174,-1.4338460204343955,-1.4668458165980307
BANNER GATEWAY MEDICAL CENTER,AZ,Pneumonia,333.0,0.93,16.59,17.9,50,07/01/2020,06/30/2023,-1.242486704431543,-0.3336107434914845,0.38630996273926366
HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,AZ,Pneumonia,312.0,1.02,15.2,14.84,49,07/01/2020,06/30/2023,0.16968902151527065,-0.9453415574717433,-1.252608154246898
BANNER IRONWOOD MEDICAL CENTER,AZ,Pneumonia,214.0,1.1,16.97,15.37,43,07/01/2020,06/30/2023,1.4249563334679953,-0.16637498139616247,-0.9687432516316481
BANNER IRONWOOD MEDICAL CENTER,AZ,COPD,35.0,1.08,20.14,18.58,12,07/01/2020,06/30/2023,1.1111395054798143,1.2287233497674495,0.7505139887361886
BANNER GOLDFIELD MEDICAL CENTER,AZ,Pneumonia,98.0,1.0,14.11,14.08,14,07/01/2020,06/30/2023,-0.14412780647291057,-1.4250441382188526,-1.6596597127140496
