Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
CALLAHAN EYE HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
HELEN KELLER HOSPITAL,AL,READM-30-COPD-HRRP,162.0,1.0188,17.2095,16.8912,29,07/01/2020,06/30/2023
HELEN KELLER HOSPITAL,AL,READM-30-PN-HRRP,236.0,1.0441,15.3127,14.6665,39,07/01/2020,06/30/2023
DALE MEDICAL CENTER,AL,READM-30-COPD-HRRP,,0.9912,17.8648,18.0228,Too Few to Report,07/01/2020,06/30/2023
DALE MEDICAL CENTER,AL,READM-30-PN-HRRP,65.0,1.058,15.7295,14.8668,14,07/01/2020,06/30/2023
FLOYD CHEROKEE MEDICAL CENTER,AL,READM-30-PN-HRRP,,0.9728,14.0753,14.4685,Too Few to Report,07/01/2020,06/30/2023
FLOYD CHEROKEE MEDICAL CENTER,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-PN-HRRP,146.0,1.0023,17.0171,16.9786,25,07/01/2020,06/30/2023
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-COPD-HRRP,70.0,0.9825,18.7156,19.049,12,07/01/2020,06/30/2023
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-PN-HRRP,233.0,1.0422,17.2334,16.5361,43,07/01/2020,06/30/2023
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-COPD-HRRP,79.0,0.9693,17.6207,18.1793,12,07/01/2020,06/30/2023
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-PN-HRRP,,0.905,13.3222,14.7207,Too Few to Report,07/01/2020,06/30/2023
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-COPD-HRRP,,0.9654,18.7893,19.4632,Too Few to Report,07/01/2020,06/30/2023
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-PN-HRRP,365.0,1.1073,18.0778,16.3256,73,07/01/2020,06/30/2023
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-COPD-HRRP,154.0,0.9857,19.4171,19.6981,29,07/01/2020,06/30/2023
COMMUNITY HOSPITAL INC,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
COMMUNITY HOSPITAL INC,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,417.0,1.0465,15.5805,14.888,68,07/01/2020,06/30/2023
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,120.0,1.0458,18.5561,17.7427,25,07/01/2020,06/30/2023
ANDALUSIA HEALTH,AL,READM-30-PN-HRRP,144.0,1.0138,16.0281,15.8097,24,07/01/2020,06/30/2023
ANDALUSIA HEALTH,AL,READM-30-COPD-HRRP,,0.9661,20.3127,21.0259,Too Few to Report,07/01/2020,06/30/2023
HUNTSVILLE HOSPITAL,AL,READM-30-COPD-HRRP,426.0,1.0004,17.3653,17.3585,74,07/01/2020,06/30/2023
HUNTSVILLE HOSPITAL,AL,READM-30-PN-HRRP,1340.0,0.9728,15.0627,15.4836,200,07/01/2020,06/30/2023
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,235.0,0.9714,16.5879,17.0766,37,07/01/2020,06/30/2023
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,97.0,0.9886,18.2568,18.4675,17,07/01/2020,06/30/2023
MARION REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,,0.9492,14.5598,15.339,Too Few to Report,07/01/2020,06/30/2023
MARION REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
FAYETTE MEDICAL CENTER,AL,READM-30-PN-HRRP,,0.9883,13.2847,13.4426,Too Few to Report,07/01/2020,06/30/2023
FAYETTE MEDICAL CENTER,AL,READM-30-COPD-HRRP,,1.0488,16.6064,15.8337,Too Few to Report,07/01/2020,06/30/2023
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,103.0,1.048,19.5145,18.6208,23,07/01/2020,06/30/2023
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,277.0,1.0904,18.7699,17.2133,58,07/01/2020,06/30/2023
MEDICAL CENTER ENTERPRISE,AL,READM-30-PN-HRRP,152.0,1.0465,15.1301,14.4573,26,07/01/2020,06/30/2023
MEDICAL CENTER ENTERPRISE,AL,READM-30-COPD-HRRP,59.0,1.0438,17.6314,16.8909,13,07/01/2020,06/30/2023
GREENE COUNTY HOSPITAL,AL,READM-30-PN-HRRP,0.0,,,,,07/01/2020,06/30/2023
GREENE COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,,1.0435,16.5639,15.8735,Too Few to Report,07/01/2020,06/30/2023
LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
FLOWERS HOSPITAL,AL,READM-30-PN-HRRP,305.0,1.0004,15.402,15.3965,47,07/01/2020,06/30/2023
FLOWERS HOSPITAL,AL,READM-30-COPD-HRRP,126.0,0.9486,18.4986,19.5012,20,07/01/2020,06/30/2023
ST VINCENT'S BIRMINGHAM,AL,READM-30-PN-HRRP,405.0,1.037,16.1856,15.608,68,07/01/2020,06/30/2023
ST VINCENT'S BIRMINGHAM,AL,READM-30-COPD-HRRP,82.0,0.9772,16.3394,16.7206,12,07/01/2020,06/30/2023
BIBB MEDICAL CENTER,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
BIBB MEDICAL CENTER,AL,READM-30-PN-HRRP,,0.9402,13.8224,14.7021,Too Few to Report,07/01/2020,06/30/2023
LAWRENCE MEDICAL CENTER,AL,READM-30-PN-HRRP,,0.9772,16.8082,17.1996,Too Few to Report,07/01/2020,06/30/2023
LAWRENCE MEDICAL CENTER,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
HIGHLANDS MEDICAL CENTER,AL,READM-30-PN-HRRP,115.0,0.9658,15.0548,15.5882,15,07/01/2020,06/30/2023
HIGHLANDS MEDICAL CENTER,AL,READM-30-COPD-HRRP,,0.998,17.373,17.4086,Too Few to Report,07/01/2020,06/30/2023
WIREGRASS MEDICAL CENTER,AL,READM-30-PN-HRRP,,0.9722,15.5356,15.9792,Too Few to Report,07/01/2020,06/30/2023
WIREGRASS MEDICAL CENTER,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
RUSSELL MEDICAL CENTER,AL,READM-30-PN-HRRP,,0.9314,14.6363,15.7145,Too Few to Report,07/01/2020,06/30/2023
RUSSELL MEDICAL CENTER,AL,READM-30-COPD-HRRP,,1.0035,15.2603,15.2076,Too Few to Report,07/01/2020,06/30/2023
MEDICAL CENTER BARBOUR,AL,READM-30-PN-HRRP,,0.9433,11.7933,12.5023,Too Few to Report,07/01/2020,06/30/2023
MEDICAL CENTER BARBOUR,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
CLAY COUNTY HOSPITAL,AL,READM-30-PN-HRRP,,0.9695,12.9448,13.3516,Too Few to Report,07/01/2020,06/30/2023
CLAY COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,270.0,0.9644,16.0961,16.6898,41,07/01/2020,06/30/2023
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,190.0,0.8528,16.7256,19.6126,22,07/01/2020,06/30/2023
ATHENS LIMESTONE HOSPITAL,AL,READM-30-COPD-HRRP,105.0,1.0135,18.2752,18.0322,20,07/01/2020,06/30/2023
ATHENS LIMESTONE HOSPITAL,AL,READM-30-PN-HRRP,179.0,1.0464,15.0886,14.4197,30,07/01/2020,06/30/2023
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,262.0,0.984,15.2954,15.5437,39,07/01/2020,06/30/2023
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,116.0,0.9495,16.4861,17.3629,16,07/01/2020,06/30/2023
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-PN-HRRP,440.0,0.9726,14.9667,15.389,64,07/01/2020,06/30/2023
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-COPD-HRRP,139.0,1.0403,16.9957,16.3374,26,07/01/2020,06/30/2023
NORTHWEST MEDICAL CENTER,AL,READM-30-PN-HRRP,,0.925,13.9501,15.0819,Too Few to Report,07/01/2020,06/30/2023
NORTHWEST MEDICAL CENTER,AL,READM-30-COPD-HRRP,,0.9167,16.5953,18.1026,Too Few to Report,07/01/2020,06/30/2023
USA HEALTH UNIVERSITY HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
USA HEALTH UNIVERSITY HOSPITAL,AL,READM-30-PN-HRRP,,0.9676,16.9059,17.4727,Too Few to Report,07/01/2020,06/30/2023
WALKER BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,87.0,1.0075,17.8648,17.7313,16,07/01/2020,06/30/2023
WALKER BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,155.0,0.9149,14.13,15.4442,16,07/01/2020,06/30/2023
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,READM-30-COPD-HRRP,96.0,0.9523,15.5225,16.2994,12,07/01/2020,06/30/2023
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,READM-30-PN-HRRP,285.0,1.1009,17.3591,15.7677,56,07/01/2020,06/30/2023
GROVE HILL MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
GROVE HILL MEMORIAL HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
DCH REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,312.0,1.1361,20.8401,18.3429,73,07/01/2020,06/30/2023
DCH REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,604.0,1.1388,18.07,15.8669,118,07/01/2020,06/30/2023
HALE COUNTY HOSPITAL,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
HALE COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
ELMORE COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,,1.0172,12.9151,12.6968,Too Few to Report,07/01/2020,06/30/2023
ELMORE COMMUNITY HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
D W MCMILLAN MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,,0.9716,13.5046,13.8999,Too Few to Report,07/01/2020,06/30/2023
D W MCMILLAN MEMORIAL HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
THOMAS HOSPITAL,AL,READM-30-PN-HRRP,342.0,1.0643,15.7419,14.7909,58,07/01/2020,06/30/2023
THOMAS HOSPITAL,AL,READM-30-COPD-HRRP,79.0,1.063,19.2411,18.1012,19,07/01/2020,06/30/2023
CITIZENS BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,56.0,1.1244,16.4345,14.6165,17,07/01/2020,06/30/2023
CITIZENS BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
J PAUL JONES HOSPITAL,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
J PAUL JONES HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
PRINCETON BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,,0.9694,17.7506,18.3119,Too Few to Report,07/01/2020,06/30/2023
PRINCETON BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,103.0,0.9766,17.1164,17.5261,16,07/01/2020,06/30/2023
GRANDVIEW MEDICAL CENTER,AL,READM-30-COPD-HRRP,154.0,1.004,18.6724,18.5979,29,07/01/2020,06/30/2023
GRANDVIEW MEDICAL CENTER,AL,READM-30-PN-HRRP,341.0,0.9621,15.7195,16.3387,51,07/01/2020,06/30/2023
PRATTVILLE BAPTIST HOSPITAL,AL,READM-30-PN-HRRP,142.0,0.925,14.1876,15.3376,15,07/01/2020,06/30/2023
PRATTVILLE BAPTIST HOSPITAL,AL,READM-30-COPD-HRRP,88.0,0.9658,17.1758,17.7835,13,07/01/2020,06/30/2023
BULLOCK COUNTY HOSPITAL,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
BULLOCK COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
WHITFIELD REGIONAL HOSPITAL,AL,READM-30-PN-HRRP,,0.9343,16.4488,17.605,Too Few to Report,07/01/2020,06/30/2023
WHITFIELD REGIONAL HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-COPD-HRRP,146.0,1.0694,19.7481,18.4657,33,07/01/2020,06/30/2023
MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-PN-HRRP,393.0,0.9485,15.4143,16.2515,57,07/01/2020,06/30/2023
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-PN-HRRP,153.0,1.0069,15.3873,15.2823,24,07/01/2020,06/30/2023
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-COPD-HRRP,,0.9697,18.1823,18.751,Too Few to Report,07/01/2020,06/30/2023
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,READM-30-PN-HRRP,113.0,1.0289,16.8791,16.4051,21,07/01/2020,06/30/2023
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,READM-30-COPD-HRRP,,0.9633,15.7255,16.3253,Too Few to Report,07/01/2020,06/30/2023
MONROE COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
MONROE COUNTY HOSPITAL,AL,READM-30-PN-HRRP,,1.0142,12.1407,11.9702,Too Few to Report,07/01/2020,06/30/2023
LAKELAND COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,280.0,0.9691,12.5063,12.9055,33,07/01/2020,06/30/2023
LAKELAND COMMUNITY HOSPITAL,AL,READM-30-COPD-HRRP,,0.9396,14.9942,15.9582,Too Few to Report,07/01/2020,06/30/2023
TROY REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,,1.0148,13.4647,13.2684,Too Few to Report,07/01/2020,06/30/2023
TROY REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
JACKSON MEDICAL CENTER,AL,READM-30-PN-HRRP,,1.0242,12.0087,11.7247,Too Few to Report,07/01/2020,06/30/2023
JACKSON MEDICAL CENTER,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
NORTH BALDWIN INFIRMARY,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
NORTH BALDWIN INFIRMARY,AL,READM-30-PN-HRRP,47.0,1.1074,15.5449,14.0371,14,07/01/2020,06/30/2023
ST VINCENT'S ST CLAIR,AL,READM-30-COPD-HRRP,,0.9861,16.2969,16.5261,Too Few to Report,07/01/2020,06/30/2023
ST VINCENT'S ST CLAIR,AL,READM-30-PN-HRRP,127.0,1.0309,14.9494,14.5006,21,07/01/2020,06/30/2023
CRESTWOOD MEDICAL CENTER,AL,READM-30-PN-HRRP,346.0,1.0566,15.7007,14.8591,58,07/01/2020,06/30/2023
CRESTWOOD MEDICAL CENTER,AL,READM-30-COPD-HRRP,91.0,1.0147,16.631,16.3904,16,07/01/2020,06/30/2023
HILL HOSPITAL OF SUMTER COUNTY,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
HILL HOSPITAL OF SUMTER COUNTY,AL,READM-30-COPD-HRRP,0.0,,,,,07/01/2020,06/30/2023
BROOKWOOD BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,169.0,1.0121,15.4982,15.313,27,07/01/2020,06/30/2023
BROOKWOOD BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,,0.9809,17.8718,18.2197,Too Few to Report,07/01/2020,06/30/2023
SPRINGHILL MEDICAL CENTER,AL,READM-30-COPD-HRRP,80.0,1.0617,16.7902,15.8151,17,07/01/2020,06/30/2023
SPRINGHILL MEDICAL CENTER,AL,READM-30-PN-HRRP,185.0,1.0317,16.154,15.6582,32,07/01/2020,06/30/2023
EVERGREEN MEDICAL CENTER,AL,READM-30-PN-HRRP,90.0,0.9943,12.6285,12.7009,11,07/01/2020,06/30/2023
EVERGREEN MEDICAL CENTER,AL,READM-30-COPD-HRRP,,0.9766,13.032,13.3443,Too Few to Report,07/01/2020,06/30/2023
BAPTIST MEDICAL CENTER EAST,AL,READM-30-PN-HRRP,203.0,1.0643,16.6513,15.645,38,07/01/2020,06/30/2023
BAPTIST MEDICAL CENTER EAST,AL,READM-30-COPD-HRRP,,0.9357,17.8477,19.0746,Too Few to Report,07/01/2020,06/30/2023
THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
NORTH ALABAMA SHOALS HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
NORTH ALABAMA SHOALS HOSPITAL,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
RUSSELLVILLE HOSPITAL,AL,READM-30-PN-HRRP,92.0,1.0351,14.9143,14.4086,16,07/01/2020,06/30/2023
RUSSELLVILLE HOSPITAL,AL,READM-30-COPD-HRRP,,0.9592,16.4621,17.1627,Too Few to Report,07/01/2020,06/30/2023
COOSA VALLEY MEDICAL CENTER,AL,READM-30-PN-HRRP,88.0,1.0679,15.5005,14.5148,18,07/01/2020,06/30/2023
COOSA VALLEY MEDICAL CENTER,AL,READM-30-COPD-HRRP,,0.9639,13.9811,14.5053,Too Few to Report,07/01/2020,06/30/2023
JACK HUGHSTON MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
JACK HUGHSTON MEMORIAL HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
ATMORE COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
ATMORE COMMUNITY HOSPITAL,AL,READM-30-COPD-HRRP,,0.9784,12.9407,13.226,Too Few to Report,07/01/2020,06/30/2023
ST VINCENT'S CHILTON,AL,READM-30-PN-HRRP,,0.9545,11.7881,12.3498,Too Few to Report,07/01/2020,06/30/2023
ST VINCENT'S CHILTON,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
THOMASVILLE REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
THOMASVILLE REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
EAMC-LANIER,AL,READM-30-PN-HRRP,,0.9738,13.9095,14.2843,Too Few to Report,07/01/2020,06/30/2023
EAMC-LANIER,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
PROVIDENCE ALASKA MEDICAL CENTER,AK,READM-30-COPD-HRRP,134.0,0.9224,17.9091,19.4162,19,07/01/2020,06/30/2023
PROVIDENCE ALASKA MEDICAL CENTER,AK,READM-30-PN-HRRP,211.0,1.0138,15.2087,15.0018,33,07/01/2020,06/30/2023
MAT-SU REGIONAL MEDICAL CENTER,AK,READM-30-PN-HRRP,272.0,0.9206,15.2835,16.6012,36,07/01/2020,06/30/2023
MAT-SU REGIONAL MEDICAL CENTER,AK,READM-30-COPD-HRRP,96.0,0.9378,17.6569,18.8272,13,07/01/2020,06/30/2023
BARTLETT REGIONAL HOSPITAL,AK,READM-30-PN-HRRP,,0.9945,13.7335,13.8092,Too Few to Report,07/01/2020,06/30/2023
BARTLETT REGIONAL HOSPITAL,AK,READM-30-COPD-HRRP,,1.0317,17.4344,16.8992,Too Few to Report,07/01/2020,06/30/2023
FAIRBANKS MEMORIAL HOSPITAL,AK,READM-30-PN-HRRP,111.0,0.9422,13.3971,14.2188,11,07/01/2020,06/30/2023
FAIRBANKS MEMORIAL HOSPITAL,AK,READM-30-COPD-HRRP,,0.9882,14.7809,14.957,Too Few to Report,07/01/2020,06/30/2023
ALASKA REGIONAL HOSPITAL,AK,READM-30-PN-HRRP,200.0,1.1081,17.0411,15.379,41,07/01/2020,06/30/2023
ALASKA REGIONAL HOSPITAL,AK,READM-30-COPD-HRRP,71.0,1.1236,19.519,17.3713,21,07/01/2020,06/30/2023
YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,READM-30-PN-HRRP,,0.9288,12.9271,13.9185,Too Few to Report,07/01/2020,06/30/2023
YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
CENTRAL PENINSULA GENERAL HOSPITAL,AK,READM-30-COPD-HRRP,96.0,1.108,20.369,18.3832,26,07/01/2020,06/30/2023
CENTRAL PENINSULA GENERAL HOSPITAL,AK,READM-30-PN-HRRP,135.0,1.0657,16.1002,15.1075,26,07/01/2020,06/30/2023
ALASKA NATIVE MEDICAL CENTER,AK,READM-30-COPD-HRRP,,0.9345,18.4218,19.7139,Too Few to Report,07/01/2020,06/30/2023
ALASKA NATIVE MEDICAL CENTER,AK,READM-30-PN-HRRP,152.0,0.9269,13.7958,14.8841,16,07/01/2020,06/30/2023
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,READM-30-COPD-HRRP,,0.9553,15.5258,16.2531,Too Few to Report,07/01/2020,06/30/2023
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,READM-30-PN-HRRP,240.0,0.9925,17.299,17.4293,41,07/01/2020,06/30/2023
TUCSON MEDICAL CENTER,AZ,READM-30-PN-HRRP,560.0,1.0359,15.6468,15.1043,90,07/01/2020,06/30/2023
TUCSON MEDICAL CENTER,AZ,READM-30-COPD-HRRP,167.0,0.9611,16.4104,17.0739,25,07/01/2020,06/30/2023
VERDE VALLEY MEDICAL CENTER,AZ,READM-30-COPD-HRRP,,0.9134,15.3811,16.8387,Too Few to Report,07/01/2020,06/30/2023
VERDE VALLEY MEDICAL CENTER,AZ,READM-30-PN-HRRP,218.0,0.8972,12.8689,14.3441,21,07/01/2020,06/30/2023
ST. MARY'S HOSPITAL,AZ,READM-30-PN-HRRP,191.0,0.9531,14.2265,14.9273,24,07/01/2020,06/30/2023
ST. MARY'S HOSPITAL,AZ,READM-30-COPD-HRRP,,1.031,15.8871,15.4089,Too Few to Report,07/01/2020,06/30/2023
ST JOSEPH'S HOSPITAL,AZ,READM-30-PN-HRRP,213.0,0.942,13.5788,14.4151,25,07/01/2020,06/30/2023
ST JOSEPH'S HOSPITAL,AZ,READM-30-COPD-HRRP,,0.9464,16.3377,17.2621,Too Few to Report,07/01/2020,06/30/2023
YAVAPAI REGIONAL MEDICAL CENTER,AZ,READM-30-PN-HRRP,587.0,1.0222,14.0653,13.76,84,07/01/2020,06/30/2023
YAVAPAI REGIONAL MEDICAL CENTER,AZ,READM-30-COPD-HRRP,192.0,1.004,15.5028,15.4412,30,07/01/2020,06/30/2023
YUMA REGIONAL MEDICAL CENTER,AZ,READM-30-PN-HRRP,586.0,0.9965,15.5691,15.6238,91,07/01/2020,06/30/2023
YUMA REGIONAL MEDICAL CENTER,AZ,READM-30-COPD-HRRP,157.0,0.9732,16.3247,16.7735,24,07/01/2020,06/30/2023
HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,AZ,READM-30-COPD-HRRP,,0.9099,15.0538,16.5451,Too Few to Report,07/01/2020,06/30/2023
HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,AZ,READM-30-PN-HRRP,276.0,0.9301,14.4344,15.5198,35,07/01/2020,06/30/2023
BANNER CASA GRANDE MEDICAL CENTER,AZ,READM-30-PN-HRRP,286.0,1.0456,15.7416,15.055,48,07/01/2020,06/30/2023
BANNER CASA GRANDE MEDICAL CENTER,AZ,READM-30-COPD-HRRP,56.0,1.0802,15.2054,14.0761,13,07/01/2020,06/30/2023
VALLEYWISE HEALTH MEDICAL CENTER,AZ,READM-30-PN-HRRP,,1.0164,15.5509,15.2993,Too Few to Report,07/01/2020,06/30/2023
VALLEYWISE HEALTH MEDICAL CENTER,AZ,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
FLAGSTAFF MEDICAL CENTER,AZ,READM-30-COPD-HRRP,,0.9789,16.2089,16.5579,Too Few to Report,07/01/2020,06/30/2023
